date,on_num,off_num,total
20210502,3445692,3426330,6872022
20210503,6660562,6640241,13300803
20210504,6540065,6519927,13059992
20210505,3978157,3958783,7936940
20210506,6752291,6731944,13484235
20210507,6777178,6756145,13533323
20210508,4112822,4093592,8206414
20210509,3433049,3416391,6849440
20210510,6448918,6430929,12879847
20210511,6812867,6791763,13604630
20210512,6838049,6816714,13654763
20210513,6813022,6791390,13604412
20210514,7107360,7082374,14189734
20210515,4537896,4516116,9054012
20210516,2777090,2761866,5538956
20210517,6451124,6432671,12883795
20210518,7042063,7021429,14063492
20210519,4270017,4247514,8517531
20210520,6593498,6572106,13165604
